,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm
class_0,-1.800891292939133,1.7219865288685376,-3.310498637624572,-3.184499829825007
class_1,1.1331511156140892,-0.2893764634058163,-1.1452100054639103,-1.4428786330361671
class_2,0.667740177325036,-1.4326100654627234,4.455708643088477,4.627378462861167
